         0        500        200
         1        668        171
         2        942        137
         3       1340        119
         4       1950        102
         5       2835         87
         6       4086         86
         7       5601         94
         8       7151        114
         9       8486        134
        10       9333        160
        11       9809        190
        12      10017        220
        13      10136        268
        14      10230        324
        15      10335        387
        16      10458        458
        17      10583        548
        18      10732        652
        19      10859        793
        20      11037        953
        21      11191       1132
        22      11312       1356
        23      11443       1609
        24      11466       1926
        25      11490       2273
        26      11429       2672
        27      11235       3090
        28      10775       3580
        29      10219       4059
        30       9555       4427
        31       8606       4721
        32       7607       4852
        33       6496       4847
        34       5422       4605
        35       4417       4127
        36       3499       3584
        37       2753       2998
        38       2143       2492
        39       1674       2042
        40       1290       1610
        41       1005       1285
        42        799        997
        43        668        752
        44        597        586
        45        587        433
        46        652        329
        47        746        245
        48        886        197
        49       1050        165
        50       1258        150
        51       1485        127
        52       1768        107
        53       2070         87
        54       2425         79
        55       2792         72
        56       3188         65
        57       3585         67
        58       4043         78
        59       4484         98
        60       4986        121
        61       5436        143
        62       5955        169
        63       6433        207
        64       6905        241
        65       7337        291
        66       7736        341
        67       8084        408
        68       8406        493
        69       8594        585
        70       8735        689
        71       8830        739
        72       8877        811
        73       8837        858
        74       8777        911
        75       8716        921
        76       8617        909
        77       8567        929
        78       8450        967
        79       8269       1004
        80       8092       1042
        81       7936       1053
        82       7711       1075
        83       7524       1128
        84       7316       1154
        85       7076       1199
        86       6844       1233
        87       6563       1262
        88       6332       1274
        89       6073       1278
        90       5821       1318
        91       5607       1359
        92       5344       1362
        93       5149       1293
        94       4994       1267
        95       4895       1272
        96       4830       1266
        97       4815       1284
        98       4763       1295
        99       4756       1323
       100       4744       1318
       101       4801       1307
       102       4879       1341
       103       4972       1359
       104       5145       1374
       105       5295       1393
       106       5434       1439
       107       5583       1522
       108       5727       1580
       109       5841       1646
       110       5946       1702
       111       5938       1792
       112       5974       1873
       113       5940       1911
       114       5952       1909
       115       5874       1910
       116       5804       1950
       117       5732       1969
       118       5647       1978
       119       5535       1983
       120       5377       2031
       121       5150       2093
       122       4954       2104
       123       4727       2053
       124       4570       2035
       125       4350       2045
       126       4132       2069
       127       3895       2046
       128       3654       1964
       129       3441       1840
       130       3320       1720
       131       3250       1564
       132       3241       1399
       133       3276       1291
       134       3418       1190
       135       3579       1100
       136       3746       1043
       137       3948       1016
       138       4242       1001
       139       4556        966
       140       4905        922
       141       5290        911
       142       5706        904
       143       6098        943
       144       6515        984
       145       6859       1037
       146       7166       1108
       147       7393       1220
       148       7543       1329
       149       7730       1439
       150       7818       1599
       151       7834       1804
       152       7767       2013
       153       7626       2233
       154       7442       2414
       155       7160       2567
       156       6852       2726
       157       6393       2845
       158       5889       2898
       159       5394       2854
       160       4856       2739
       161       4299       2625
       162       3870       2397
       163       3388       2178
       164       3005       1932
       165       2748       1694
       166       2526       1499
       167       2352       1322
       168       2263       1157
       169       2211       1054
       170       2230        943
       171       2316        844
       172       2399        749
       173       2560        712
       174       2732        661
       175       3009        643
       176       3285        642
       177       3577        644
       178       3904        638
       179       4245        632
       180       4646        647
       181       5078        676
       182       5469        750
       183       5836        806
       184       6167        893
       185       6478        984
       186       6727       1037
       187       6976       1117
       188       7148       1194
       189       7299       1318
       190       7376       1414
       191       7370       1484
       192       7338       1569
       193       7215       1614
       194       7134       1680
       195       7021       1731
       196       6801       1788
       197       6619       1816
       198       6369       1871
