         0       1000        100
         1       1308         93
         2       1662         87
         3       2151         72
         4       2851         72
         5       3719         70
         6       4830         70
         7       6170         79
         8       7496         90
         9       8540        109
        10       9162        122
        11       9484        139
        12       9618        158
        13       9671        187
        14       9735        228
        15       9805        263
        16       9867        309
        17       9982        366
        18      10046        415
        19      10126        485
        20      10226        570
        21      10295        669
        22      10321        775
        23      10375        900
        24      10388       1022
        25      10370       1185
        26      10297       1356
        27      10205       1540
        28       9993       1750
        29       9727       1982
        30       9317       2249
        31       8762       2424
        32       8153       2611
        33       7440       2716
        34       6701       2747
        35       5957       2715
        36       5215       2590
        37       4549       2371
        38       3886       2169
        39       3313       1940
        40       2773       1726
        41       2334       1529
        42       1967       1285
        43       1677       1105
        44       1409        959
        45       1167        834
        46        985        739
        47        864        629
        48        788        507
        49        815        409
        50        881        288
        51       1025        214
        52       1219        168
        53       1432        134
        54       1714         97
        55       2062         71
        56       2436         54
        57       2871         46
        58       3336         48
        59       3819         55
        60       4354         62
        61       4874         69
        62       5401         83
        63       5903         96
        64       6385        111
        65       6840        126
        66       7264        145
        67       7607        160
        68       7940        173
        69       8234        188
        70       8461        212
        71       8611        230
        72       8778        243
        73       8884        274
        74       8955        298
        75       9019        323
        76       9037        352
        77       9055        402
        78       9008        434
        79       8940        459
        80       8854        489
        81       8764        514
        82       8673        552
        83       8558        569
        84       8406        575
        85       8285        583
        86       8147        609
        87       8012        608
        88       7869        622
        89       7746        654
        90       7628        654
        91       7485        675
        92       7349        679
        93       7205        679
        94       7079        718
        95       6987        732
        96       6884        737
        97       6761        770
        98       6649        801
        99       6513        839
       100       6347        895
       101       6184        921
       102       6068        940
       103       5935        945
       104       5790        955
       105       5713        960
       106       5592        981
       107       5486        960
       108       5411        945
       109       5365        976
       110       5319        969
       111       5283        989
       112       5226        984
       113       5237        972
       114       5241        965
       115       5211       1014
       116       5195       1024
       117       5200       1028
       118       5180       1068
       119       5171       1092
       120       5208       1082
       121       5201       1104
       122       5241       1102
       123       5227       1160
       124       5163       1169
       125       5179       1216
       126       5152       1210
       127       5164       1230
       128       5144       1200
       129       5138       1238
       130       5079       1195
       131       5027       1178
       132       4969       1154
       133       4919       1118
       134       4905       1125
       135       4874       1174
       136       4844       1191
       137       4799       1213
       138       4784       1224
       139       4748       1244
       140       4697       1261
       141       4676       1287
       142       4551       1337
       143       4387       1409
       144       4272       1436
       145       4154       1411
       146       4010       1378
       147       3885       1318
       148       3830       1288
       149       3734       1223
       150       3684       1156
       151       3632       1081
       152       3591       1029
       153       3596        978
       154       3604        931
       155       3646        906
       156       3733        881
       157       3792        869
       158       3876        845
       159       3973        857
       160       4053        866
       161       4129        880
       162       4228        868
       163       4303        891
       164       4382        908
       165       4466        939
       166       4524        950
       167       4630        974
       168       4711        985
       169       4784       1016
       170       4844       1060
       171       4873       1106
       172       4890       1139
       173       4877       1123
       174       4832       1110
       175       4791       1120
       176       4739       1129
       177       4697       1104
       178       4615       1068
       179       4633       1044
       180       4659       1032
       181       4622       1040
       182       4618       1069
       183       4569       1072
       184       4570       1062
       185       4534       1051
       186       4500       1038
       187       4485       1014
       188       4482       1009
       189       4443        974
       190       4459        946
       191       4452        937
       192       4493        928
       193       4515        913
       194       4603        916
       195       4631        922
       196       4669        909
       197       4713        921
       198       4747        950
       199       4775        960
       200       4827        936
       201       4932        956
       202       4942        940
       203       4976        905
       204       5080        892
       205       5150        870
       206       5183        865
       207       5223        882
       208       5247        914
       209       5275        944
       210       5303        975
       211       5319        995
       212       5307       1018
       213       5322       1048
       214       5321       1073
       215       5332       1115
       216       5314       1138
       217       5275       1144
       218       5225       1140
       219       5175       1171
       220       5129       1197
       221       5029       1235
       222       4918       1262
       223       4784       1288
       224       4675       1301
       225       4531       1315
       226       4316       1321
       227       4163       1329
       228       3980       1311
       229       3868       1244
       230       3822       1155
       231       3787       1063
       232       3761        968
       233       3734        961
       234       3712        949
       235       3702        918
       236       3684        914
       237       3723        888
       238       3798        863
       239       3921        851
       240       4060        863
       241       4156        848
       242       4278        858
       243       4433        828
       244       4553        842
       245       4658        857
       246       4761        874
       247       4871        906
       248       5013        915
       249       5112        930
       250       5210        931
       251       5272        959
       252       5319        968
       253       5394        992
       254       5395       1016
       255       5407       1044
       256       5434       1052
       257       5444       1092
       258       5417       1147
       259       5361       1193
       260       5300       1245
       261       5198       1288
       262       5073       1327
       263       4923       1338
       264       4835       1322
       265       4723       1307
       266       4645       1289
       267       4556       1230
       268       4424       1201
       269       4314       1171
       270       4179       1147
       271       4050       1137
       272       3947       1161
       273       3826       1144
       274       3722       1123
       275       3600       1090
       276       3565       1050
       277       3478       1039
       278       3430       1027
       279       3501        985
       280       3498        994
       281       3540        955
       282       3649        923
       283       3720        911
       284       3802        886
       285       3915        817
       286       4048        787
       287       4197        764
       288       4323        750
       289       4460        774
       290       4573        771
       291       4720        778
       292       4824        763
       293       4980        777
       294       5131        769
       295       5281        821
       296       5381        866
       297       5452        896
       298       5481        896
       299       5509        916
       300       5533        910
       301       5569        947
       302       5586        934
       303       5613        940
       304       5631        946
       305       5618        947
       306       5579        918
       307       5607        899
       308       5649        855
       309       5662        852
       310       5696        886
       311       5675        928
       312       5691        952
       313       5649        988
       314       5595        996
       315       5559       1036
       316       5529       1081
       317       5517       1123
       318       5461       1165
       319       5430       1217
       320       5347       1207
       321       5201       1259
